11-08-2025 08:35:13 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 08:36:14 | hqaz-merwebprd1 | En línea | Latencia: 71.0 ms
11-08-2025 08:37:15 | hqaz-merwebprd1 | En línea | Latencia: 70.0 ms
11-08-2025 08:38:16 | hqaz-merwebprd1 | En línea | Latencia: 69.0 ms
11-08-2025 08:39:17 | hqaz-merwebprd1 | En línea | Latencia: 69.0 ms
11-08-2025 08:40:18 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 08:41:19 | hqaz-merwebprd1 | En línea | Latencia: 70.0 ms
11-08-2025 08:42:20 | hqaz-merwebprd1 | En línea | Latencia: 69.0 ms
11-08-2025 08:43:20 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:44:21 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 08:45:22 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 08:46:23 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 08:47:25 | hqaz-merwebprd1 | En línea | Latencia: 77.0 ms
11-08-2025 08:48:26 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:49:27 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:50:28 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:51:29 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:52:30 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 08:53:31 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:54:32 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 08:55:33 | hqaz-merwebprd1 | En línea | Latencia: 109.0 ms
11-08-2025 08:56:34 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 08:57:35 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 08:58:36 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 08:59:37 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:00:37 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 09:01:38 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:02:39 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:03:40 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:04:41 | hqaz-merwebprd1 | En línea | Latencia: 84.0 ms
11-08-2025 09:05:42 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 09:06:43 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:07:44 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:08:45 | hqaz-merwebprd1 | En línea | Latencia: 113.0 ms
11-08-2025 09:09:46 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:10:47 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:11:47 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:12:48 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:13:49 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:14:50 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
