18-08-2025 08:24:59 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:26:01 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:27:01 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:28:02 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:29:03 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:30:04 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:31:05 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:32:06 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:33:07 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:34:08 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:35:09 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:36:10 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:37:11 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:38:12 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:39:13 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:40:14 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:41:33 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:42:34 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:43:35 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:44:35 | viaz-merweb1 | En línea | Latencia: 151.0 ms
18-08-2025 08:45:47 | viaz-merweb1 | En línea | Latencia: 73.0 ms
18-08-2025 08:46:48 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:47:49 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:48:50 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:49:51 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:50:51 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:51:52 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:52:53 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:53:54 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:54:56 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 08:55:57 | viaz-merweb1 | En línea | Latencia: 72.0 ms
